branch_manager,manage_compliance,
super_admin,view_compliance_reports,
admin,view_compliance_reports,
branch_manager,view_compliance_reports,
super_admin,compliance.view,all
admin,compliance.view,all
branch_manager,compliance.view,branch
super_admin,compliance.manage,
admin,compliance.manage,
branch_manager,compliance.manage,
super_admin,view_dashboard,
admin,view_dashboard,
branch_manager,view_dashboard,
office_admin,view_dashboard,
agent,view_dashboard,
super_admin,view_dashboard_kpis,
admin,view_dashboard_kpis,
branch_manager,view_dashboard_kpis,
office_admin,view_dashboard_kpis,
agent,view_dashboard_kpis,
super_admin,view_dashboard_charts,
admin,view_dashboard_charts,
branch_manager,view_dashboard_charts,
office_admin,view_dashboard_charts,
agent,view_dashboard_charts,
super_admin,export_reports,
admin,export_reports,
branch_manager,export_reports,
super_admin,view_own_stats,
admin,view_own_stats,
office_admin,view_own_stats,
agent,view_own_stats,
super_admin,view_branch_stats,
admin,view_branch_stats,
branch_manager,view_branch_stats,
super_admin,view_company_stats,
admin,view_company_stats,
super_admin,manage_system,
admin,manage_system,
super_admin,manage_branch,
admin,manage_branch,
branch_manager,manage_branch,
super_admin,manage_agency_switching,
super_admin,access_document_library,
admin,access_document_library,
branch_manager,access_document_library,
office_admin,access_document_library,
agent,access_document_library,
super_admin,upload_documents_library,
admin,upload_documents_library,
branch_manager,upload_documents_library,
office_admin,upload_documents_library,
super_admin,manage_document_library,
admin,manage_document_library,
office_admin,manage_document_library,
super_admin,access_docuperfect,
admin,access_docuperfect,
branch_manager,access_docuperfect,
office_admin,access_docuperfect,
agent,access_docuperfect,
super_admin,create_docuperfect_docs,
admin,create_docuperfect_docs,
branch_manager,create_docuperfect_docs,
office_admin,create_docuperfect_docs,
agent,create_docuperfect_docs,
super_admin,manage_templates,
admin,manage_templates,
branch_manager,manage_templates,
office_admin,manage_templates,
super_admin,manage_clauses,
admin,manage_clauses,
branch_manager,manage_clauses,
super_admin,manage_docuperfect_settings,
admin,manage_docuperfect_settings,
office_admin,manage_docuperfect_settings,
super_admin,access_docuperfect_packs,
admin,access_docuperfect_packs,
branch_manager,access_docuperfect_packs,
office_admin,access_docuperfect_packs,
agent,access_docuperfect_packs,
super_admin,access_clause_library,
admin,access_clause_library,
branch_manager,access_clause_library,
office_admin,access_clause_library,
agent,access_clause_library,
super_admin,documents.view,all
admin,documents.view,all
branch_manager,documents.view,branch
office_admin,documents.view,branch
agent,documents.view,own
super_admin,documents.create,
admin,documents.create,
branch_manager,documents.create,
office_admin,documents.create,
agent,documents.create,
super_admin,documents.edit,
